date_commande,frequentation,ca_ttc,nb_commandes,prix_moyen
2018-05-07,196,2822.1399999999994,85,14.398673469387752
2018-05-08,172,2984.94,57,17.354302325581397
2018-05-09,231,3383.5999999999995,149,14.647619047619045
2018-05-10,237,3482.6,69,14.694514767932489
2018-05-11,254,3803.0400000000004,107,14.972598425196852
2018-05-12,275,4078.8199999999993,78,14.832072727272724
2018-05-13,175,2717.5800000000004,33,15.529028571428574
2018-05-14,195,3017.7500000000005,93,15.475641025641028
2018-05-15,198,2789.100000000001,110,14.086363636363641
2018-05-16,184,2715.9099999999994,98,14.760380434782606
2018-05-17,206,2970.2499999999995,109,14.418689320388347
2018-05-18,291,4346.5,117,14.936426116838488
2018-05-19,218,3222.02,81,14.779908256880734
2018-05-20,175,2712.01,43,15.497200000000001
2018-05-21,258,3896.6599999999994,94,15.103333333333332
2018-05-22,158,2378.0699999999997,82,15.051075949367087
2018-05-23,176,2527.33,89,14.359829545454545
2018-05-24,183,2676.98,91,14.628306010928961
2018-05-25,254,3801.9799999999996,98,14.968425196850392
2018-05-26,237,3691.17,109,15.574556962025317
2018-05-27,200,3024.33,51,15.121649999999999
2018-05-28,224,3373.5699999999997,75,15.060580357142856
2018-05-29,237,3541.4300000000007,110,14.942742616033758
2018-05-30,221,3343.0099999999998,106,15.126742081447963
2018-05-31,240,3529.02,110,14.70425
2018-06-01,344,5165.79,140,15.016831395348838
2018-06-02,256,3816.8499999999995,84,14.909570312499998
2018-06-03,184,2830.5500000000006,44,15.383423913043481
2018-06-04,182,2748.26,97,15.100329670329671
2018-06-05,188,2887.49,74,15.358989361702127
2018-06-06,249,3709.03,131,14.89570281124498
2018-06-07,234,3403.9799999999996,111,14.546923076923076
2018-06-08,287,4349.24,116,15.154146341463413
2018-06-09,220,3509.6000000000004,98,15.952727272727275
2018-06-10,185,2855.77,39,15.436594594594595
2018-06-11,202,3087.41,83,15.28420792079208
2018-06-12,159,2376.2499999999995,78,14.944968553459116
2018-06-13,230,3484.9900000000007,98,15.152130434782611
2018-06-14,197,2935.83,91,14.902690355329948
2018-06-15,318,4546.000000000001,132,14.295597484276733
2018-06-16,284,4184.91,67,14.735598591549294
2018-06-17,188,2760.97,44,14.686010638297871
2018-06-18,133,1938.68,68,14.576541353383458
2018-06-19,159,2302.82,86,14.48314465408805
2018-06-20,219,3280.19,78,14.978036529680365
2018-06-21,201,2999.6200000000003,82,14.923482587064678
2018-06-22,319,4684.15,109,14.68385579937304
2018-06-23,270,3958.7499999999995,86,14.662037037037035
2018-06-24,171,2584.5899999999997,42,15.11456140350877
2018-06-25,143,2200.91,70,15.39097902097902
2018-06-26,185,2692.1699999999996,94,14.552270270270268
2018-06-27,158,2384.25,81,15.090189873417721
2018-06-28,224,3340.2999999999997,105,14.91205357142857
2018-06-29,268,3820.23,139,14.254589552238807
2018-06-30,241,3691.68,84,15.31817427385892
2018-07-01,132,1982.2000000000003,33,15.01666666666667
